USA_Slope,HeatLoad,Cons_LITH,Rad_sm,B_TD,MCMT,MAP,PRATIO,DEP2RES,aws0_100,soc0_5,QMD,RC_PROP,WH_PROP,GF_PROP,LP_PROP,WL_PROP,DF_PROP,PP_PROP,W_ShadeTol,W_DroughtTol
6.0,1044.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1036.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
9.0,1031.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
9.0,975.0,Extrusive,255.0,19.0,-1.8,673.0,0.2511,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
9.0,978.0,Extrusive,255.0,19.0,-1.8,673.0,0.2511,201.0,15.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
12.0,970.0,Extrusive,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
16.0,944.0,Extrusive,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
17.0,936.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
22.0,912.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
21.0,929.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
22.0,924.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
24.0,909.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
11.0,1050.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
14.0,1039.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1070.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
4.0,1078.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
4.0,1072.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
5.0,1050.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1027.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
9.0,1044.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1052.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1052.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,33.0,7.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1051.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1048.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1035.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1027.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
9.0,1032.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
9.0,1036.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
9.0,980.0,Extrusive,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
13.0,956.0,Extrusive,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
16.0,934.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
18.0,924.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
21.0,913.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
21.0,925.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
22.0,916.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
24.0,903.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
27.0,909.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
27.0,918.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
28.0,917.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
32.0,925.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1060.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
10.0,1054.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
18.0,1042.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
4.0,1072.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
4.0,1071.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1060.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,201.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1048.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
6.0,1044.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1040.0,Extrusive,257.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1045.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,33.0,7.0,2.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1047.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,33.0,7.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1044.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
7.0,1028.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1025.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1028.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1032.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,32.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
8.0,1035.0,Extrusive,255.0,19.0,-1.6,624.0,0.2564,201.0,15.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
11.0,958.0,Extrusive,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
16.0,923.0,Extrusive,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
17.0,919.0,Sedimentary,255.0,19.0,-1.8,673.0,0.2511,201.0,11.0,35.0,9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.78,2.62
